entry_id	timestamp_utc	phase	hypothesis	condition	metric_primary	primary_value	runtime_seconds	status	artifact	notes
R0001	2026-05-13T22:34:05Z	speed	direct_text_events	direct_vs_legacy_event_only	event_speedup_x	1373.691933	9.758301	keep	cache/ablation_results/text_path_ablation_20260513T223405Z.json	Cold direct text event construction was far faster than legacy TTS/ASR event construction.
R0002	2026-05-13T22:34:25Z	speed	direct_text_prediction	direct_text_prediction_agreement	prediction_flat_pearson_common_timesteps	0.861582	3.049827	exploratory	cache/ablation_results/text_path_ablation_20260513T223425Z.json	Agreement with cached legacy prediction is preliminary and not an fMRI-quality metric.
R0003	2026-05-14T00:00:00Z	quality	pearson_objective	s01_6chunk_mse	test/pearson	0.015218	7.828807	baseline	cache/ablation_results/algonauts_text_loss_ablation_s01_6chunk_tiny_10epoch_loss.json	Tiny-model single-subject baseline on adjacent chunk split.
R0004	2026-05-14T00:00:00Z	quality	pearson_objective	s01_6chunk_pearson_mse	test/pearson	0.047092	5.748539	keep_exploratory	cache/ablation_results/algonauts_text_loss_ablation_s01_6chunk_tiny_10epoch_loss.json	PearsonMSE improved +0.031875 absolute Pearson over same-protocol MSE.
R0005	2026-05-14T00:00:00Z	quality	temporal_delay_bank	s01_6chunk_pearson_mse_delay	test/pearson	0.047725	7.970460	neutral	cache/ablation_results/algonauts_text_loss_ablation_s01_6chunk_tiny_10epoch_delay.json	Delay bank improved only +0.000633 over PearsonMSE; do not promote yet.
R0006	2026-05-14T00:00:00Z	quality	pearson_objective	s01_8chunk_mse	test/pearson	0.017867	902.441962	baseline	cache/ablation_results/algonauts_text_loss_ablation_s01_8chunk_tiny_10epoch_loss.json	Runtime includes cold feature cache and is not comparable to warm runs.
R0007	2026-05-14T00:00:00Z	quality	pearson_objective	s01_8chunk_pearson_mse	test/pearson	0.046131	7.893628	keep_exploratory	cache/ablation_results/algonauts_text_loss_ablation_s01_8chunk_tiny_10epoch_loss.json	PearsonMSE replicated +0.028264 absolute Pearson over same-protocol MSE.
R0008	2026-05-14T00:53:11Z	quality	pearson_objective	s01_e01_e08_episode_seed33_mse	test/pearson	0.032539	1271.238180	baseline	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1.json	Runtime includes cold cache build.
R0009	2026-05-14T00:53:11Z	quality	pearson_objective	s01_e01_e08_episode_seed33_pearson_mse	test/pearson	0.058000	13.896376	keep_exploratory	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1.json	Delta vs MSE +0.025461.
R0010	2026-05-14T00:53:11Z	quality	pearson_objective	s01_e01_e08_episode_seed34_mse	test/pearson	0.029561	13.485893	baseline	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1.json	Warm-cache baseline.
R0011	2026-05-14T00:53:11Z	quality	pearson_objective	s01_e01_e08_episode_seed34_pearson_mse	test/pearson	0.060324	13.878965	keep_exploratory	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1.json	Delta vs MSE +0.030763.
R0012	2026-05-14T00:53:11Z	quality	pearson_objective	s01_e01_e08_episode_seed35_mse	test/pearson	0.029140	13.597655	baseline	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1.json	Warm-cache baseline.
R0013	2026-05-14T00:53:11Z	quality	pearson_objective	s01_e01_e08_episode_seed35_pearson_mse	test/pearson	0.061302	13.890243	keep_exploratory	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1.json	Delta vs MSE +0.032162; all three seed deltas positive.
R0014	2026-05-14T01:19:56Z	quality	default_scale	s01_e01_e08_full_mse_mean	test/pearson_mean	0.084577	83.430030	baseline	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_3seed_v1.json	Default model MSE mean across seeds 33/34/35.
R0015	2026-05-14T01:19:56Z	quality	default_scale	s01_e01_e08_full_high_pearson_mse_mean	test/pearson_mean	0.071853	80.482908	reject	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_3seed_v1.json	High-weight PearsonMSE mean delta -0.012724 vs full MSE.
R0016	2026-05-14T01:22:50Z	quality	aux_loss	s01_e01_e08_full_aux_p010_mean	test/pearson_mean	0.088630	83.735259	mixed	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p010_3seed_v1.json	Weak Pearson auxiliary mean delta +0.004053 but one negative seed.
R0017	2026-05-14T01:23:33Z	quality	aux_loss	s01_e01_e08_full_aux_p025_mean	test/pearson_mean	0.081345	84.062530	reject	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p025_3seed_v1.json	Pearson auxiliary 0.25 mean delta -0.003232.
R0018	2026-05-14T01:27:00Z	quality	temporal_delay	s01_e01_e08_full_mse_delay_l6s2_mean	test/pearson_mean	0.085205	84.000000	neutral	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_mse_delay_l6s2_3seed_v1.json	All seeds positive but mean delta only +0.000628, below meaningful threshold.
R0019	2026-05-14T02:16:54Z	quality	aux_loss	s01_e01_e12_full_aux_p010_mean	test/pearson_mean	0.095896	453.940216	reject	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_aux_p010_3seed_v1.json	Weak Pearson auxiliary mean delta +0.002574 but two of three seeds were negative; stop Pearson-loss line.
R0020	2026-05-14T02:24:45Z	quality	output_temporal_delay	s01_e01_e12_full_mse_output_delay_l6s2_mean	test/pearson_mean	0.091825	42.572755	reject	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_output_delay_l6s2_3seed_v1.json	Output-level delay mean delta -0.001497 vs same-split MSE; do not promote.
R0021	2026-05-14T03:09:26Z	quality	text_features	s01_e01_e12_full_mse_qwen06b_6layer_mean	test/pearson_mean	0.081682	815.345754	reject	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_qwen06b_6layers_3seed_v1.json	Averaged six-layer Qwen representation mean delta -0.011640 vs same-split one-layer MSE; not a good feature aggregation.
R0022	2026-05-14T03:11:35Z	failure	text_features	smoke_qwen06b_6layers_cat_dims	validation_error	n/a	n/a	fixed_next	research/logs/smoke_qwen06b_6layers_cat_dims_v1.log	Concatenated-layer smoke failed because data.layer_aggregation only accepts group_mean or mean.
R0023	2026-05-14T03:17:02Z	smoke	text_features	smoke_qwen06b_6layers_none_dims	extractor_dims	text:(6,1024)	200.808787	keep	cache/ablation_results/smoke_qwen06b_6layers_none_dims_v1.json	Setting data.layer_aggregation=None preserves the six-layer text feature axis; valid path for full ablation.
R0024	2026-05-14T04:01:43Z	quality	text_features	s01_e01_e12_full_mse_qwen06b_6layer_none	test/pearson_mean	0.085848	858.629356	reject	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_qwen06b_6layers_none_3seed_v1.json	True six-layer Qwen representation mean delta -0.007474 vs same-split one-layer MSE; do not promote.
R0025	2026-05-14T04:25:35Z	smoke	text_features	smoke_llama32_3b_groupmean_dims	extractor_dims	text:(5,3072)	681.880234	keep	cache/ablation_results/smoke_llama32_3b_groupmean_dims_v1.json	Paper-style Llama-3.2-3B group-mean text features load and expose expected 5x3072 shape.
R0026	2026-05-14T05:57:07Z	smoke	multimodal_features	smoke_text_audio_qwen06b_dims	extractor_dims	text:(1,1024);audio:(1,1024)	235.060789	keep	cache/ablation_results/smoke_text_audio_qwen06b_dims_v1.json	Text+audio feature path builds audio chunks and trains one tiny batch; metric is not a quality claim.
R0027	2026-05-14T06:30:32Z	quality	text_features	s01_e01_e12_full_mse_llama32_3b_groupmean_mean	test/pearson_mean	0.125382	7453.833436	promote_exploratory	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_llama32_3b_groupmean_3seed_v1.json	Paper-style Llama-3.2-3B group-mean text features beat same-split Qwen MSE by +0.032060 mean Pearson with all three seed deltas positive.
R0028	2026-05-14T06:37:11Z	quality	text_features	s01_e01_e12_val_e09_e10_full_mse_qwen06b_mean	test/pearson_mean	0.113253	136.968263	baseline	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e09_e10_full_mse_qwen06b_3seed_v1.json	Frozen second-split Qwen MSE baseline; warm text cache, no runtime claim.
