qid	axis	rung	priority	status	prerequisites	title	hypothesis	script	command_template	primary_metric	gate	baseline_ref	est_runtime_hours	linked_ledger_entry	primary_value	runtime_seconds	started_at	finished_at	notes
H001-S	0	smoke	1	done		Faithful retrain skeleton smoke	Text-only training-pipeline smoke: harness runs end-to-end on tiny config, sub-01 s01e01/s01e02, 1 seed, --tiny-model, --limit-train-batches 1, text feature only	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 PYTHONPATH=. ./venv/bin/python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01 s01e02 --seeds 33 --tiny-model --limit-train-batches 1 --features-to-use text	pytest_pass	tests pass and training-step output shape (n_TRs, 1000) finite for text-only path	none	0.5	S0054	(200,1000);finite	7.881688	2026-05-19T07:45:36Z	2026-05-19T07:48:06Z	Downgraded from full-modality after S0053 blocked on cold video extraction (~2h projected). Text-only smoke passed in S0054 after config-hash serialization fix; multimodal path remains in H001-SM after H000-VCACHE-SM cache warmup.
H000-VCACHE-SM	0	setup	1	pending		Cold multimodal feature cache for smoke chunks	One-time cold extraction of text/audio/video features for sub-01 s01e01 and s01e02 under feature_cache_version=h001_faithful_retrain_v1. Warms the cache so downstream multimodal smokes fit budget.	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 PYTHONPATH=. ./venv/bin/python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01 s01e02 --seeds 33 --tiny-model --limit-train-batches 1 --features-to-use text audio video	cache_warm	all per-modality feature cache files materialized for the two episodes; one finite (n_TRs, 1000) training-step output	none	4.0						Setup row, not a hypothesis. The 2x budget ceiling is 8h. If it breaches, narrow chunk scope (one episode) and rerun; if still breaches, drop video and surface for human review.
H001-SM	0	smoke	2	pending	H000-VCACHE-SM	Multimodal training-pipeline smoke (warm cache)	Harness runs end-to-end with text+audio+video on warm cache, sub-01 s01e01/s01e02, 1 seed, --tiny-model, --limit-train-batches 1.	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 PYTHONPATH=. ./venv/bin/python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01 s01e02 --seeds 33 --tiny-model --limit-train-batches 1 --features-to-use text audio video	training_step_shape	warm cache reused (no cold video extraction); training-step output shape (n_TRs, 1000) finite for full-modality path	H000-VCACHE-SM	0.5						Validates the multimodal path now that the cache is warm. If cold video extraction reappears, the cache key drifted; fix cache key before retrying.
H001-E	0	exploratory	1	pending	H001-S H001-SM	Faithful retrain exploratory, sub-01 Friends s01 e01-e12	Faithful retrain with default model on episode-heldout val e11/e12 reproduces order of public TRIBE on the proxy	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --seeds 33 34 35	heldout_val_pearson_mean	delta_to_public_tribe_average_head within +/- 0.02	public_tribe_average_head_on_same_split	4						Establishes "our retrain ~= public weights" on the proxy. Required gate before any architecture claim. Now depends on H001-SM (multimodal warm-cache smoke). Will also require H000-VCACHE-E for s01e03..s01e12 cache warmup before running; add that row when H001-SM clears.
H002	0	exploratory	3	pending	H001-E	Faithful retrain 4-subject Friends S1-S6	Retrain over sub-01/02/03/05 Friends S1-S6 episode-heldout, default model, 3 seeds	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 sub-02 sub-03 sub-05 --seasons s01..s06 --val-policy episode-heldout --seeds 33 34 35	native_tr_pearson_mean	delta_to_public_tribe_average_head >= -0.005	public_tribe_average_head	18						Our scaled baseline. Comparator for all architecture/feature changes from here.
H003	0	confirmatory	4	pending	H002	Faithful retrain on full multi-study mix	Retrain over Algonauts + Lahner + Lebel + Wen, 4-subject readouts on Algonauts subjects	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --studies algonauts2025 lahner2024bold lebel2023bold wen2017 --subjects sub-01 sub-02 sub-03 sub-05 --seeds 33 34 35	native_tr_pearson_mean	delta_to_public_tribe_average_head >= -0.005	public_tribe_average_head	48						Required for any architecture/feature claim at the paper's scale.
HB01-S	B	smoke	2	pending		V-JEPA-2 feature extraction smoke	V-JEPA-2 extracts and caches video features matching expected per-timestep shape	experiments/feature_extract_vjepa2.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/feature_extract_vjepa2.py --chunks s01e01a --check-dims	feature_extractor_dims	dims = (T, D) finite	v_jepa_existing_dims	0.5						Dim/shape only; no training. Caches into cache/features_v2/vjepa2/.
HB02-S	B	smoke	2	pending		InternVideo2 feature extraction smoke	InternVideo2 extracts and caches video features	experiments/feature_extract_internvideo2.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/feature_extract_internvideo2.py --chunks s01e01a --check-dims	feature_extractor_dims	dims = (T, D) finite	dinov2_existing_dims	0.5						
HB03-S	B	smoke	2	pending		BEATs audio feature extraction smoke	BEATs caches audio features per chunk	experiments/feature_extract_beats.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/feature_extract_beats.py --chunks s01e01a --check-dims	feature_extractor_dims	dims = (T, D) finite	wav2vec_bert_existing_dims	0.5						
HB04-S	B	smoke	2	pending		Audio-MAE feature extraction smoke	Audio-MAE caches audio features per chunk	experiments/feature_extract_audio_mae.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/feature_extract_audio_mae.py --chunks s01e01a --check-dims	feature_extractor_dims	dims = (T, D) finite	wav2vec_bert_existing_dims	0.5						
