artifact_id	timestamp_utc	artifact_type	path	provenance	notes
A0001	2026-05-13T22:34:05Z	result_json	cache/ablation_results/text_path_ablation_20260513T223405Z.json	experiments/text_path_ablation.py	Cold event-only direct-vs-legacy timing artifact.
A0002	2026-05-13T22:34:25Z	result_json	cache/ablation_results/text_path_ablation_20260513T223425Z.json	experiments/text_path_ablation.py	Direct-vs-legacy prediction agreement artifact.
A0003	2026-05-14T00:00:00Z	result_json	cache/ablation_results/algonauts_text_loss_ablation_s01_6chunk_tiny_10epoch_loss.json	experiments/algonauts_text_loss_ablation.py	Six-chunk MSE and PearsonMSE result.
A0004	2026-05-14T00:00:00Z	result_json	cache/ablation_results/algonauts_text_loss_ablation_s01_6chunk_tiny_10epoch_delay.json	experiments/algonauts_text_loss_ablation.py	Six-chunk PearsonMSE plus TemporalDelayBank result.
A0005	2026-05-14T00:00:00Z	result_json	cache/ablation_results/algonauts_text_loss_ablation_s01_8chunk_tiny_10epoch_loss.json	experiments/algonauts_text_loss_ablation.py	Eight-chunk MSE and PearsonMSE result.
A0006	2026-05-14T00:00:00Z	split_manifest	research/manifests/algonauts_s01_e01_e08_val_e07_e08_v1.csv	manual preregistration	Episode-held-out manifest for next exploratory run.
A0007	2026-05-14T00:53:11Z	result_json	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1.json	experiments/algonauts_text_loss_ablation.py	Three-seed episode-held-out tiny-model MSE vs PearsonMSE result.
A0008	2026-05-14T00:53:11Z	run_log	research/logs/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1.log	experiments/algonauts_text_loss_ablation.py	Successful run log.
A0009	2026-05-14T00:49:00Z	failure_log	research/logs/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1_attempt1_missing_video.log	experiments/algonauts_text_loss_ablation.py	Failed because required video files were not materialized.
A0010	2026-05-14T00:51:00Z	failure_log	research/logs/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1_attempt2_split_nan.log	experiments/algonauts_text_loss_ablation.py	Failed because generated rows had missing chunk/movie values before split inference patch.
A0011	2026-05-14T01:19:56Z	result_json	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_3seed_v1.json	experiments/algonauts_text_loss_ablation.py	Three-seed episode-held-out default-model MSE vs high-weight PearsonMSE result.
A0012	2026-05-14T01:19:56Z	run_log	research/logs/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_3seed_v1.log	experiments/algonauts_text_loss_ablation.py	Successful default-model run log.
A0013	2026-05-14T01:22:50Z	result_json	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p010_3seed_v1.json	experiments/algonauts_text_loss_ablation.py	Default-model weak Pearson auxiliary 0.1 result.
A0014	2026-05-14T01:22:50Z	run_log	research/logs/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p010_3seed_v1.log	experiments/algonauts_text_loss_ablation.py	Default-model weak Pearson auxiliary 0.1 log.
A0015	2026-05-14T01:23:33Z	result_json	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p025_3seed_v1.json	experiments/algonauts_text_loss_ablation.py	Default-model weak Pearson auxiliary 0.25 result.
A0016	2026-05-14T01:23:33Z	run_log	research/logs/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p025_3seed_v1.log	experiments/algonauts_text_loss_ablation.py	Default-model weak Pearson auxiliary 0.25 log.
A0017	2026-05-14T01:27:00Z	result_json	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_mse_delay_l6s2_3seed_v1.json	experiments/algonauts_text_loss_ablation.py	Default-model MSE plus TemporalDelayBank result.
A0018	2026-05-14T01:27:00Z	run_log	research/logs/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_mse_delay_l6s2_3seed_v1.log	experiments/algonauts_text_loss_ablation.py	Default-model MSE plus TemporalDelayBank log.
A0019	2026-05-14T01:27:00Z	split_manifest	research/manifests/algonauts_s01_e01_e12_val_e11_e12_v1.csv	manual preregistration	Episode-held-out manifest for weak auxiliary falsification run.
A0020	2026-05-14T02:16:54Z	result_json	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_aux_p010_3seed_v1.json	experiments/algonauts_text_loss_ablation.py	Larger-split weak Pearson auxiliary falsification result.
A0021	2026-05-14T02:16:54Z	run_log	research/logs/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_aux_p010_3seed_v1.log	experiments/algonauts_text_loss_ablation.py	Larger-split weak Pearson auxiliary falsification log.
A0022	2026-05-14T02:24:45Z	result_json	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_output_delay_l6s2_3seed_v1.json	experiments/algonauts_text_loss_ablation.py	Larger-split output-level TemporalDelayBank result.
A0023	2026-05-14T02:24:45Z	run_log	research/logs/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_output_delay_l6s2_3seed_v1.log	experiments/algonauts_text_loss_ablation.py	Larger-split output-level TemporalDelayBank log.
A0024	2026-05-14T03:09:26Z	result_json	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_qwen06b_6layers_3seed_v1.json	experiments/algonauts_text_loss_ablation.py	Larger-split averaged six-layer Qwen text feature result.
A0025	2026-05-14T03:09:26Z	run_log	research/logs/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_qwen06b_6layers_3seed_v1.log	experiments/algonauts_text_loss_ablation.py	Larger-split averaged six-layer Qwen text feature log.
